ID,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
4250,Audi A3 35 TDI Attraction,Chennai,2014,79271,Diesel,Automatic,First,20.38,1968,143,5,16.5
4303,Audi A3 35 TDI Premium,Mumbai,2016,20003,Diesel,Automatic,First,20.38,1968,143,5,19.25
2713,Audi A3 35 TDI Premium Plus,Mumbai,2016,39000,Diesel,Automatic,First,20.38,1968,143,5,18.9
563,Audi A3 35 TDI Technology,Delhi,2017,,Diesel,Automatic,Second,20.38,1968,143,5,22.5
2960,Audi A4 1.8 TFSI,Mumbai,2011,53000,Petrol,Automatic,First,12.3,1798,163.2,5,9.5
4553,Audi A4 1.8 TFSI,Kolkata,2010,38001,Petrol,Automatic,First,12.3,1781,163.2,5,8.5
3069,Audi A4 1.8 TFSI Technology Edition,Hyderabad,2012,,Petrol,Automatic,First,15.64,1798,167.62,5,17.5
693,Audi A4 2.0 TDI,Bangalore,2014,37600,Diesel,Automatic,Second,16.55,1968,147.51,5,22.5
1072,Audi A4 2.0 TDI,Kolkata,2009,34000,Diesel,Automatic,First,16.55,1968,147.51,5,9.95
1421,Audi A4 2.0 TDI,Hyderabad,2013,52000,Diesel,Automatic,First,16.55,1968,147.51,5,19.5
1545,Audi A4 2.0 TDI,Mumbai,2013,,Diesel,Automatic,First,16.55,1968,147.51,5,13.5
1812,Audi A4 2.0 TDI,Delhi,2013,67000,Diesel,Automatic,First,16.55,1968,147.51,5,14.5
2184,Audi A4 2.0 TDI,Delhi,2011,46000,Diesel,Automatic,Second,16.55,1968,147.51,5,10.99
2524,Audi A4 2.0 TDI,Kolkata,2009,,Diesel,Automatic,First,16.55,1968,147.51,5,8.5
3238,Audi A4 2.0 TDI,Kochi,2013,45330,Diesel,Automatic,First,16.55,1968,147.51,5,13.19
3294,Audi A4 2.0 TDI,Hyderabad,2011,54000,Diesel,Automatic,First,16.55,1968,147.51,5,18
3463,Audi A4 2.0 TDI,Hyderabad,2014,60000,Diesel,Automatic,First,16.55,1968,147.51,5,24
3631,Audi A4 2.0 TDI,Ahmedabad,2013,82002,Diesel,Automatic,Second,16.55,1968,147.51,5,17.5
3694,Audi A4 2.0 TDI,Hyderabad,2011,85000,Diesel,Automatic,First,16.55,1968,147.51,5,13.95
4417,Audi A4 2.0 TDI,Bangalore,2013,76000,Diesel,Automatic,Second,16.55,1968,147.51,5,18.25
4538,Audi A4 2.0 TDI,Delhi,2013,36000,Diesel,Automatic,Second,16.55,1968,147.51,5,14
161,Audi A4 2.0 TDI 177 Premium Plus,Bangalore,2014,21000,Diesel,Automatic,First,17.11,1968,174.33,5,24.5
416,Audi A4 2.0 TDI 177 Premium Plus,Kolkata,2013,,Diesel,Automatic,First,17.11,1968,174.33,5,14.5
715,Audi A4 2.0 TDI 177 Premium Plus,Chennai,2014,70000,Diesel,Automatic,First,17.11,1968,174.33,5,18
1778,Audi A4 2.0 TDI 177 Premium Plus,Bangalore,2014,29063,Diesel,Automatic,First,17.11,1968,174.33,5,25.75
2417,Audi A4 2.0 TDI 177 Premium Plus,Bangalore,2013,88000,Diesel,Automatic,First,17.11,1968,174.33,5,16.25
2738,Audi A4 2.0 TDI 177 Premium Plus,Kolkata,2014,40000,Diesel,Automatic,First,17.11,1968,174.33,5,17.5
3074,Audi A4 2.0 TDI 177 Premium Plus,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968,174.33,5,21.43
